year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2022,6,348950," 13,218,402,553 "," 11,581,882,000 ", - , - ,,," 2,091,042,000 "," 190,293,000 "," 22,899,535,553 ",-0.2047505313 ,-0.2004266103 ,348950,," 31,464,000,000 ", 190 ,
2022,12,348950," 17,624,948,230 "," 11,758,750,000 ", - , - ,,," 4,153,578,000 "," 363,953,000 "," 25,594,073,230 ", 0.1176677872 ,-0.1111752860 ,348950,," 37,501,000,000 ", 190 ,
2023,6,348950," 26,728,872,485 "," 12,036,949,000 ", - , - ,,," 4,191,662,000 "," 104,316,000 "," 34,678,475,485 ", 0.3549416372 , 0.5143746215 ,348950,," 37,501,000,000 ", 190 ,
2023,12,348950," 23,205,162,441 "," 12,250,919,000 ", - , - ,,," 2,399,916,000 "," 342,698,000 "," 33,398,863,441 ",-0.0368993165 , 0.3049452168 ,348950,," 38,488,000,000 ", 195 ,
2024,6,348950," 24,232,916,587 "," 12,548,035,000 ", - , - ,,," 2,949,986,000 "," 211,241,000 "," 34,042,206,587 ", 0.0192624263 ,-0.0183476606 ,348950,," 38,488,000,000 ", 195 ,
2024,12,348950," 41,313,822,978 ",, - , - ,,," 10,753,500,497 "," 139,666,601 "," 30,699,989,082 ",-0.0981786388 ,-0.0808073713 ,348950,," 38,488,000,000 ", 195 ,
2025,6,348950," 30,735,019,561 ", - , - , - ,,," 10,407,740,065 "," 82,626,820 "," 20,409,906,316 ",-0.3351819683 ,-0.4004528977 ,348950,"기타수익--, 금융비용++++"," 22,698,000,000 ", 115 ,
2020,12,350520," 7,297,243,827 ", - , - , - ," 5,950,000,000 ", - ,,," 1,347,243,827 ",-0.9339906903 ,-0.9561158206 ,350520,," 2,678,000,000 ", 130 ,
2021,6,350520," 2,567,022,713 ", - , - , - ," 650,000,000 ", - ,,," 1,917,022,713 ", 0.4229218754 ,-0.9060739092 ,350520,," 2,678,000,000 ", 130 ,
2021,12,350520," 8,103,280,124 ", - , - , - ," 6,530,000,000 ", - ,,," 1,573,280,124 ",-0.1793106501 , 0.1677768289 ,350520,," 2,719,000,000 ", 132 ,
