VALUESearch - ETF정보 / A476800.삼성 KODEX 한국부동산리츠인프라부동산상장지수투자신탁[재간접형],,,,,,,,,,,,Report as of : 2025-11-23
기준일자,시가,고가,저가,종가,거래량,거래대금,상장주식수,1개월수익률,3개월수익률,6개월수익률,1년수익률,상장후수익률
,"5,300.  ","5,300.  ","5,285.  ","5,295.  ","576,073.  ","3,049,338,680.  ","16,150,000.  ",.  ,.03  ,.06  ,.06  ,.03  
,"5,295.  ","5,300.  ","5,260.  ","5,275.  ","592,754.  ","3,131,418,385.  ","16,150,000.  ",.  ,.02  ,.06  ,.06  ,.03  
,"5,280.  ","5,280.  ","5,260.  ","5,280.  ","751,841.  ","3,960,603,220.  ","16,250,000.  ",-.01  ,.03  ,.06  ,.06  ,.03  
,"5,290.  ","5,320.  ","5,275.  ","5,315.  ","671,997.  ","3,561,646,165.  ","16,350,000.  ",-.02  ,.03  ,.07  ,.07  ,.04  
,"5,330.  ","5,330.  ","5,295.  ","5,320.  ","776,598.  ","4,118,178,445.  ","16,500,000.  ",-.01  ,.03  ,.07  ,.07  ,.04  
,"5,325.  ","5,325.  ","5,305.  ","5,320.  ","713,085.  ","3,790,440,685.  ","16,650,000.  ",-.01  ,.03  ,.07  ,.07  ,.04  
,"5,295.  ","5,300.  ","5,275.  ","5,300.  ","996,201.  ","5,265,307,745.  ","16,750,000.  ",-.01  ,.02  ,.06  ,.06  ,.03  
,"5,305.  ","5,310.  ","5,280.  ","5,280.  ","903,750.  ","4,783,811,750.  ","17,000,000.  ",.03  ,.02  ,.06  ,.06  ,.03  
,"5,280.  ","5,295.  ","5,270.  ","5,285.  ","787,236.  ","4,157,504,230.  ","17,150,000.  ",.  ,.02  ,.05  ,.06  ,.03  
,"5,270.  ","5,270.  ","5,255.  ","5,270.  ","913,401.  ","4,808,121,475.  ","17,350,000.  ",.  ,.01  ,.05  ,.06  ,.03  
,"5,270.  ","5,300.  ","5,270.  ","5,285.  ","641,987.  ","3,396,954,375.  ","17,650,000.  ",.01  ,.01  ,.05  ,.06  ,.03  
,"5,310.  ","5,310.  ","5,275.  ","5,290.  ","1,061,930.  ","5,614,502,620.  ","18,000,000.  ",.01  ,.01  ,.04  ,.06  ,.03  
,"5,270.  ","5,270.  ","5,235.  ","5,250.  ","1,182,375.  ","6,208,637,420.  ","19,900,000.  ",-.01  ,.01  ,.04  ,.06  ,.02  
,"5,255.  ","5,260.  ","5,235.  ","5,250.  ","828,020.  ","4,348,543,375.  ","19,900,000.  ",.  ,.02  ,.05  ,.06  ,.02  
,"5,265.  ","5,275.  ","5,220.  ","5,265.  ","754,405.  ","3,967,055,110.  ","19,900,000.  ",.  ,.05  ,.07  ,.06  ,.03  
,"5,265.  ","5,275.  ","5,245.  ","5,260.  ","895,410.  ","4,710,649,535.  ","20,100,000.  ",.01  ,.04  ,.06  ,.06  ,.02  
,"5,265.  ","5,265.  ","5,250.  ","5,260.  ","1,461,833.  ","7,687,838,825.  ","20,100,000.  ",.  ,.03  ,.05  ,.06  ,.02  
,"5,255.  ","5,260.  ","5,240.  ","5,245.  ","888,181.  ","4,662,251,275.  ","20,100,000.  ",.  ,.03  ,.05  ,.06  ,.02  
